,block_table,9.4.193.187:9866,9.4.193.199:9866,9.4.193.166:9866,9.4.193.228:9866,9.4.193.110:9866
76,lineitem.tbl,1,0,0,1,1
77,lineitem.tbl,1,0,1,0,1
78,lineitem.tbl,1,0,1,0,1
79,lineitem.tbl,0,0,1,1,1
80,lineitem.tbl,0,0,1,1,1
81,lineitem.tbl,1,0,0,1,1
82,lineitem.tbl,1,0,0,1,1
83,lineitem.tbl,1,0,0,1,1
84,lineitem.tbl,1,0,1,0,1
85,lineitem.tbl,1,0,0,1,1
86,lineitem.tbl,1,0,0,1,1
87,lineitem.tbl,0,0,1,1,1
88,lineitem.tbl,1,0,1,0,1
89,lineitem.tbl,1,0,0,1,1
90,lineitem.tbl,0,0,1,1,1
91,lineitem.tbl,1,0,0,1,1
92,lineitem.tbl,1,0,1,0,1
93,lineitem.tbl,0,0,1,1,1
94,lineitem.tbl,0,0,1,1,1
95,lineitem.tbl,1,0,0,1,1
96,lineitem.tbl,0,0,1,1,1
97,lineitem.tbl,1,0,0,1,1
98,lineitem.tbl,1,0,0,1,1
99,lineitem.tbl,0,0,1,1,1
100,lineitem.tbl,1,0,0,1,1
101,lineitem.tbl,1,0,1,0,1
102,lineitem.tbl,0,0,1,1,1
103,lineitem.tbl,1,0,0,1,1
104,lineitem.tbl,0,0,1,1,1
105,lineitem.tbl,0,0,1,1,1
106,lineitem.tbl,1,0,1,0,1
107,lineitem.tbl,1,0,1,0,1
108,lineitem.tbl,1,0,0,1,1
109,lineitem.tbl,0,0,1,1,1
110,lineitem.tbl,0,0,1,1,1
111,lineitem.tbl,0,0,1,1,1
112,lineitem.tbl,0,0,1,1,1
113,lineitem.tbl,0,0,1,1,1
114,lineitem.tbl,0,0,1,1,1
115,lineitem.tbl,1,0,1,0,1
116,lineitem.tbl,1,0,1,0,1
117,lineitem.tbl,0,0,1,1,1
118,lineitem.tbl,1,0,1,0,1
119,lineitem.tbl,1,0,1,0,1
120,lineitem.tbl,0,0,1,1,1
121,lineitem.tbl,1,0,0,1,1
122,lineitem.tbl,1,0,1,0,1
123,lineitem.tbl,0,0,1,1,1
124,lineitem.tbl,1,0,1,0,1
125,lineitem.tbl,0,0,1,1,1
126,lineitem.tbl,0,0,1,1,1
127,lineitem.tbl,0,0,1,1,1
128,lineitem.tbl,0,0,1,1,1
129,lineitem.tbl,1,0,1,0,1
130,lineitem.tbl,1,0,1,0,1
131,lineitem.tbl,1,0,1,0,1
132,lineitem.tbl,1,0,1,0,1
133,lineitem.tbl,1,0,0,1,1
134,lineitem.tbl,0,0,1,1,1
135,lineitem.tbl,1,0,1,0,1
136,lineitem.tbl,1,0,0,1,1
137,lineitem.tbl,1,0,1,0,1
138,lineitem.tbl,1,0,0,1,1
139,lineitem.tbl,0,0,1,1,1
140,lineitem.tbl,1,0,1,0,1
141,lineitem.tbl,0,0,1,1,1
142,lineitem.tbl,1,0,1,0,1
143,lineitem.tbl,1,0,1,0,1
144,lineitem.tbl,0,0,1,1,1
145,lineitem.tbl,1,0,1,0,1
146,lineitem.tbl,1,0,0,1,1
147,lineitem.tbl,1,0,0,1,1
148,lineitem.tbl,1,0,1,0,1
149,lineitem.tbl,1,0,1,0,1
150,lineitem.tbl,1,0,0,1,1
151,lineitem.tbl,1,0,1,0,1
152,lineitem.tbl,0,0,1,1,1
153,lineitem.tbl,1,0,1,0,1
154,lineitem.tbl,1,0,0,1,1
155,lineitem.tbl,0,0,1,1,1
156,lineitem.tbl,0,0,1,1,1
157,lineitem.tbl,1,0,0,1,1
158,lineitem.tbl,1,0,0,1,1
159,lineitem.tbl,1,0,0,1,1
160,lineitem.tbl,1,0,1,0,1
161,lineitem.tbl,0,0,1,1,1
162,lineitem.tbl,1,0,1,0,1
163,lineitem.tbl,0,0,1,1,1
164,lineitem.tbl,1,0,1,0,1
165,lineitem.tbl,1,0,1,0,1
166,lineitem.tbl,0,0,1,1,1
167,lineitem.tbl,1,0,0,1,1
168,lineitem.tbl,1,0,1,0,1
169,lineitem.tbl,1,0,1,0,1
170,lineitem.tbl,0,0,1,1,1
171,lineitem.tbl,1,0,1,0,1
172,lineitem.tbl,0,0,1,1,1
173,lineitem.tbl,1,0,0,1,1
174,lineitem.tbl,1,0,1,0,1
175,lineitem.tbl,0,0,1,1,1
176,lineitem.tbl,0,0,1,1,1
177,lineitem.tbl,1,0,1,0,1
178,lineitem.tbl,0,0,1,1,1
179,lineitem.tbl,0,0,1,1,1
180,lineitem.tbl,0,0,1,1,1
181,lineitem.tbl,1,0,1,0,1
182,lineitem.tbl,0,0,1,1,1
183,lineitem.tbl,1,0,0,1,1
184,lineitem.tbl,1,0,0,1,1
185,lineitem.tbl,1,0,0,1,1
186,lineitem.tbl,0,0,1,1,1
187,lineitem.tbl,0,0,1,1,1
188,lineitem.tbl,1,0,0,1,1
189,lineitem.tbl,1,0,1,0,1
190,lineitem.tbl,1,0,1,0,1
191,lineitem.tbl,1,0,1,0,1
192,lineitem.tbl,1,0,1,0,1
193,lineitem.tbl,0,0,1,1,1
194,lineitem.tbl,0,0,1,1,1
195,lineitem.tbl,0,0,1,1,1
196,lineitem.tbl,1,0,1,0,1
197,lineitem.tbl,1,0,1,0,1
198,lineitem.tbl,1,0,0,1,1
199,lineitem.tbl,0,0,1,1,1
200,lineitem.tbl,0,0,1,1,1
201,lineitem.tbl,1,0,1,0,1
202,lineitem.tbl,1,0,1,0,1
203,lineitem.tbl,0,0,1,1,1
204,lineitem.tbl,1,0,1,0,1
205,lineitem.tbl,1,0,0,1,1
206,lineitem.tbl,0,0,1,1,1
207,lineitem.tbl,1,0,1,0,1
208,lineitem.tbl,1,0,1,0,1
209,lineitem.tbl,0,0,1,1,1
210,lineitem.tbl,0,0,1,1,1
211,lineitem.tbl,1,0,0,1,1
212,lineitem.tbl,1,0,1,0,1
213,lineitem.tbl,1,0,0,1,1
214,lineitem.tbl,1,0,0,1,1
215,lineitem.tbl,1,0,1,0,1
216,lineitem.tbl,0,0,1,1,1
217,lineitem.tbl,1,0,1,0,1
218,lineitem.tbl,0,0,1,1,1
219,lineitem.tbl,1,0,0,1,1
220,lineitem.tbl,1,0,1,0,1
221,lineitem.tbl,1,0,1,0,1
222,lineitem.tbl,0,0,1,1,1
223,lineitem.tbl,0,0,1,1,1
224,lineitem.tbl,1,0,1,0,1
225,lineitem.tbl,1,0,1,0,1
226,lineitem.tbl,1,0,0,1,1
227,lineitem.tbl,1,0,1,0,1
228,lineitem.tbl,1,0,0,1,1
229,lineitem.tbl,1,0,1,0,1
230,lineitem.tbl,0,0,1,1,1
231,lineitem.tbl,1,0,1,0,1
232,lineitem.tbl,0,0,1,1,1
233,lineitem.tbl,0,0,1,1,1
234,lineitem.tbl,1,0,0,1,1
235,lineitem.tbl,1,0,1,0,1
236,lineitem.tbl,1,0,0,1,1
237,lineitem.tbl,1,0,0,1,1
238,lineitem.tbl,0,0,1,1,1
239,lineitem.tbl,0,0,1,1,1
240,lineitem.tbl,1,0,1,0,1
241,lineitem.tbl,0,0,1,1,1
242,lineitem.tbl,0,0,1,1,1
243,lineitem.tbl,1,0,0,1,1
244,lineitem.tbl,1,0,1,0,1
245,lineitem.tbl,0,0,1,1,1
246,lineitem.tbl,1,0,1,0,1
247,lineitem.tbl,0,0,1,1,1
248,lineitem.tbl,0,0,1,1,1
249,lineitem.tbl,0,0,1,1,1
250,lineitem.tbl,1,0,0,1,1
251,lineitem.tbl,1,0,1,0,1
252,lineitem.tbl,0,0,1,1,1
253,lineitem.tbl,1,0,1,0,1
254,lineitem.tbl,1,0,0,1,1
255,lineitem.tbl,0,0,1,1,1
256,lineitem.tbl,1,0,1,0,1
257,lineitem.tbl,1,0,1,0,1
258,lineitem.tbl,1,0,0,1,1
259,lineitem.tbl,0,0,1,1,1
260,lineitem.tbl,1,0,0,1,1
261,lineitem.tbl,1,0,0,1,1
262,lineitem.tbl,1,0,1,0,1
263,lineitem.tbl,0,0,1,1,1
264,lineitem.tbl,1,0,1,0,1
265,lineitem.tbl,0,0,1,1,1
266,lineitem.tbl,1,0,0,1,1
267,lineitem.tbl,1,0,1,0,1
268,lineitem.tbl,1,0,0,1,1
269,lineitem.tbl,1,0,1,0,1
270,lineitem.tbl,1,0,0,1,1
271,lineitem.tbl,1,0,1,0,1
272,lineitem.tbl,1,0,0,1,1
273,lineitem.tbl,0,0,1,1,1
274,lineitem.tbl,0,0,1,1,1
275,lineitem.tbl,1,0,1,0,1
276,lineitem.tbl,0,0,1,1,1
277,lineitem.tbl,1,0,1,0,1
278,lineitem.tbl,1,0,1,0,1
279,lineitem.tbl,1,0,0,1,1
280,lineitem.tbl,1,0,1,0,1
281,lineitem.tbl,1,0,0,1,1
282,lineitem.tbl,1,0,1,0,1
283,lineitem.tbl,0,0,1,1,1
284,lineitem.tbl,1,0,0,1,1
285,lineitem.tbl,1,0,1,0,1
286,lineitem.tbl,0,0,1,1,1
287,lineitem.tbl,0,0,1,1,1
288,lineitem.tbl,1,0,1,0,1
289,lineitem.tbl,1,0,1,0,1
290,lineitem.tbl,1,0,0,1,1
291,lineitem.tbl,1,0,1,0,1
292,lineitem.tbl,0,0,1,1,1
293,lineitem.tbl,0,0,1,1,1
294,lineitem.tbl,1,0,1,0,1
295,lineitem.tbl,0,0,1,1,1
296,partsupp.tbl,1,1,0,1,0
297,partsupp.tbl,1,0,1,1,0
298,partsupp.tbl,1,1,0,1,0
299,partsupp.tbl,1,1,0,1,0
300,partsupp.tbl,1,1,0,1,0
301,partsupp.tbl,1,0,1,1,0
302,partsupp.tbl,1,0,1,1,0
303,partsupp.tbl,1,0,1,1,0
304,partsupp.tbl,1,0,1,1,0
305,partsupp.tbl,1,0,1,1,0
306,partsupp.tbl,1,1,0,1,0
307,partsupp.tbl,1,1,0,1,0
308,partsupp.tbl,1,0,1,1,0
309,partsupp.tbl,1,1,0,1,0
310,partsupp.tbl,1,1,0,1,0
311,partsupp.tbl,1,0,1,1,0
312,partsupp.tbl,1,0,1,1,0
313,partsupp.tbl,1,0,1,1,0
314,partsupp.tbl,1,0,1,1,0
315,partsupp.tbl,1,1,0,1,0
316,partsupp.tbl,1,1,0,1,0
317,partsupp.tbl,1,1,0,1,0
318,partsupp.tbl,1,0,1,1,0
319,partsupp.tbl,1,1,0,1,0
320,partsupp.tbl,1,0,1,1,0
321,partsupp.tbl,1,1,0,1,0
322,partsupp.tbl,1,0,1,1,0
323,partsupp.tbl,1,0,1,1,0
324,partsupp.tbl,1,1,0,1,0
325,partsupp.tbl,1,1,0,1,0
326,partsupp.tbl,1,0,1,1,0
327,partsupp.tbl,1,1,0,1,0
328,partsupp.tbl,1,1,0,1,0
329,partsupp.tbl,1,0,1,1,0
330,partsupp.tbl,1,0,1,1,0
331,partsupp.tbl,1,1,0,1,0
332,partsupp.tbl,1,0,1,1,0
333,partsupp.tbl,1,0,1,1,0
334,partsupp.tbl,1,0,1,1,0
335,partsupp.tbl,1,1,0,1,0
336,partsupp.tbl,1,0,1,1,0
337,partsupp.tbl,1,0,1,1,0
338,partsupp.tbl,1,0,1,1,0
339,partsupp.tbl,1,0,1,1,0
340,partsupp.tbl,1,0,1,1,0
341,partsupp.tbl,1,0,1,0,1
342,nation.tbl,1,0,1,1,1
343,region.tbl,1,0,1,1,1
344,part.tbl,1,0,1,1,0
345,part.tbl,1,0,1,1,0
346,part.tbl,1,0,1,1,0
347,part.tbl,1,0,1,1,0
348,part.tbl,1,0,1,1,0
349,part.tbl,1,0,1,1,0
350,part.tbl,1,0,1,1,0
351,part.tbl,1,0,1,1,0
352,part.tbl,1,0,1,1,0
353,part.tbl,0,0,1,1,1
354,orders.tbl,1,0,1,1,0
355,orders.tbl,1,0,0,1,1
356,orders.tbl,1,0,0,1,1
357,orders.tbl,1,0,0,1,1
358,orders.tbl,1,0,1,1,0
359,orders.tbl,1,0,0,1,1
360,orders.tbl,1,0,1,1,0
361,orders.tbl,1,0,1,1,0
362,orders.tbl,1,0,1,1,0
363,orders.tbl,1,0,1,1,0
364,orders.tbl,1,0,0,1,1
365,orders.tbl,1,0,0,1,1
366,orders.tbl,1,0,1,1,0
367,orders.tbl,1,0,1,1,0
368,orders.tbl,1,0,1,1,0
369,orders.tbl,1,0,1,1,0
370,orders.tbl,1,0,1,1,0
371,orders.tbl,1,0,1,1,0
372,orders.tbl,1,0,1,1,0
373,orders.tbl,1,0,1,1,0
374,orders.tbl,1,0,1,1,0
375,orders.tbl,1,0,1,1,0
376,orders.tbl,1,0,1,1,0
377,orders.tbl,1,0,1,1,0
378,orders.tbl,1,0,1,1,0
379,orders.tbl,1,0,1,1,0
380,orders.tbl,1,0,0,1,1
381,orders.tbl,1,0,0,1,1
382,orders.tbl,1,0,0,1,1
383,orders.tbl,1,0,1,1,0
384,orders.tbl,1,0,1,1,0
385,orders.tbl,1,0,0,1,1
386,orders.tbl,1,0,1,1,0
387,orders.tbl,1,0,1,1,0
388,orders.tbl,1,0,1,1,0
389,orders.tbl,1,0,1,1,0
390,orders.tbl,1,0,1,1,0
391,orders.tbl,1,0,1,1,0
392,orders.tbl,1,0,0,1,1
393,orders.tbl,1,0,0,1,1
394,orders.tbl,1,0,0,1,1
395,orders.tbl,1,0,1,1,0
396,orders.tbl,1,0,1,1,0
397,orders.tbl,1,0,1,1,0
398,orders.tbl,1,0,1,1,0
399,orders.tbl,1,0,1,1,0
400,orders.tbl,1,0,1,1,0
401,orders.tbl,1,0,1,1,0
402,orders.tbl,1,0,1,1,0
403,orders.tbl,1,0,1,1,0
404,orders.tbl,1,0,1,1,0
405,orders.tbl,1,0,0,1,1
406,orders.tbl,1,0,0,1,1
407,orders.tbl,1,0,1,1,0
408,orders.tbl,1,0,1,1,0
409,orders.tbl,1,0,1,1,0
410,orders.tbl,1,0,1,1,0
411,orders.tbl,1,0,0,1,1
412,orders.tbl,1,0,1,1,0
413,orders.tbl,1,0,1,1,0
414,orders.tbl,1,0,0,1,1
415,orders.tbl,1,0,1,1,0
416,orders.tbl,1,0,1,1,0
417,orders.tbl,1,0,1,1,0
418,orders.tbl,1,0,1,1,0
419,orders.tbl,1,0,0,1,1
420,customer.tbl,1,0,1,1,0
421,customer.tbl,1,0,1,1,0
422,customer.tbl,1,0,1,1,0
423,customer.tbl,1,0,1,1,0
424,customer.tbl,1,0,1,1,0
425,customer.tbl,1,0,1,1,0
426,customer.tbl,1,0,1,1,0
427,customer.tbl,1,0,1,1,0
428,customer.tbl,1,0,1,1,0
429,customer.tbl,0,0,1,1,1
